epoch,train_loss,val_loss,val_acc,hidden_dim,learning_rate,num_epochs,batch_size,n_layers,model,input_dim,timestamp,n_samples
0,1.1018506288528442,1.0982054471969604,0.22,512,0.0005,25,1024,1,simcse,768,1670103015,1000
1,1.0975698232650757,1.0925883054733276,0.6266666666666667,512,0.0005,25,1024,1,simcse,768,1670103015,1000
2,1.0932832956314087,1.0853374004364014,0.6066666666666667,512,0.0005,25,1024,1,simcse,768,1670103015,1000
3,1.0877615213394165,1.0748406648635864,0.6066666666666667,512,0.0005,25,1024,1,simcse,768,1670103015,1000
4,1.0797549486160278,1.0594547986984253,0.6066666666666667,512,0.0005,25,1024,1,simcse,768,1670103015,1000
5,1.068065166473389,1.0364528894424438,0.6066666666666667,512,0.0005,25,1024,1,simcse,768,1670103015,1000
6,1.0506569147109983,1.004608392715454,0.6066666666666667,512,0.0005,25,1024,1,simcse,768,1670103015,1000
7,1.027076005935669,0.9675350189208984,0.6066666666666667,512,0.0005,25,1024,1,simcse,768,1670103015,1000
8,1.0012840032577517,0.9379253387451172,0.6066666666666667,512,0.0005,25,1024,1,simcse,768,1670103015,1000
9,0.9842719435691832,0.9254961013793944,0.6066666666666667,512,0.0005,25,1024,1,simcse,768,1670103015,1000
10,0.9810126423835754,0.921214997768402,0.6066666666666667,512,0.0005,25,1024,1,simcse,768,1670103015,1000
11,0.979836881160736,0.9157007932662964,0.6066666666666667,512,0.0005,25,1024,1,simcse,768,1670103015,1000
12,0.9729310870170592,0.9066082835197448,0.6066666666666667,512,0.0005,25,1024,1,simcse,768,1670103015,1000
13,0.9595355987548828,0.8962990045547485,0.6066666666666667,512,0.0005,25,1024,1,simcse,768,1670103015,1000
14,0.9432452321052552,0.8908289670944214,0.6066666666666667,512,0.0005,25,1024,1,simcse,768,1670103015,1000
15,0.9310299158096312,0.8925841450691223,0.6533333333333333,512,0.0005,25,1024,1,simcse,768,1670103015,1000
16,0.9268836975097656,0.8915551900863647,0.64,512,0.0005,25,1024,1,simcse,768,1670103015,1000
17,0.9231039881706238,0.8804980516433716,0.6533333333333333,512,0.0005,25,1024,1,simcse,768,1670103015,1000
18,0.9123746752738952,0.8650240898132324,0.6666666666666666,512,0.0005,25,1024,1,simcse,768,1670103015,1000
19,0.8992904424667358,0.8532638549804688,0.6733333333333333,512,0.0005,25,1024,1,simcse,768,1670103015,1000
20,0.8908771872520447,0.8462035655975342,0.6733333333333333,512,0.0005,25,1024,1,simcse,768,1670103015,1000
21,0.8860009908676147,0.8403772711753845,0.6733333333333333,512,0.0005,25,1024,1,simcse,768,1670103015,1000
22,0.8805736303329468,0.8333208560943604,0.6866666666666666,512,0.0005,25,1024,1,simcse,768,1670103015,1000
23,0.8731194138526917,0.8246245384216309,0.6866666666666666,512,0.0005,25,1024,1,simcse,768,1670103015,1000
24,0.8629615902900696,0.8153831362724304,0.7133333333333334,512,0.0005,25,1024,1,simcse,768,1670103015,1000
0,1.0982823371887207,1.0909523963928225,0.5644444444444444,512,0.0005,25,1024,1,simcse,768,1670103682,1500
1,1.0909321308135986,1.0768909454345703,0.5644444444444444,512,0.0005,25,1024,1,simcse,768,1670103682,1500
2,1.0853381752967834,1.0492563247680664,0.5644444444444444,512,0.0005,25,1024,1,simcse,768,1670103682,1500
3,1.029049515724182,1.0023678541183472,0.5644444444444444,512,0.0005,25,1024,1,simcse,768,1670103682,1500
4,1.0275694131851196,0.9651859402656556,0.5644444444444444,512,0.0005,25,1024,1,simcse,768,1670103682,1500
5,1.005408763885498,0.9571231007575988,0.5644444444444444,512,0.0005,25,1024,1,simcse,768,1670103682,1500
6,0.9913022220134736,0.9431596994400024,0.5644444444444444,512,0.0005,25,1024,1,simcse,768,1670103682,1500
7,0.8987759053707123,0.9263380169868468,0.5644444444444444,512,0.0005,25,1024,1,simcse,768,1670103682,1500
8,0.9767709970474244,0.913589894771576,0.5644444444444444,512,0.0005,25,1024,1,simcse,768,1670103682,1500
9,0.9593155086040496,0.9036715626716614,0.5644444444444444,512,0.0005,25,1024,1,simcse,768,1670103682,1500
10,0.9670644402503968,0.8918132781982422,0.6488888888888888,512,0.0005,25,1024,1,simcse,768,1670103682,1500
11,0.8893901407718658,0.881030797958374,0.6533333333333333,512,0.0005,25,1024,1,simcse,768,1670103682,1500
12,0.8707355558872223,0.8771353960037231,0.6755555555555556,512,0.0005,25,1024,1,simcse,768,1670103682,1500
13,0.8756828308105469,0.8653479814529419,0.7422222222222222,512,0.0005,25,1024,1,simcse,768,1670103682,1500
14,0.8524214029312134,0.8526967167854309,0.7422222222222222,512,0.0005,25,1024,1,simcse,768,1670103682,1500
15,0.8609393835067749,0.8370046019554138,0.7288888888888889,512,0.0005,25,1024,1,simcse,768,1670103682,1500
16,0.8360031247138977,0.8202727437019348,0.7466666666666667,512,0.0005,25,1024,1,simcse,768,1670103682,1500
17,0.8353655338287354,0.7970303297042847,0.7955555555555556,512,0.0005,25,1024,1,simcse,768,1670103682,1500
18,0.7769507467746735,0.8030710220336914,0.7555555555555555,512,0.0005,25,1024,1,simcse,768,1670103682,1500
19,0.7757228910923004,0.7907589673995972,0.7644444444444445,512,0.0005,25,1024,1,simcse,768,1670103682,1500
20,0.7539518475532532,0.7724913954734802,0.7777777777777778,512,0.0005,25,1024,1,simcse,768,1670103682,1500
21,0.7583316266536713,0.7634689211845398,0.7911111111111111,512,0.0005,25,1024,1,simcse,768,1670103682,1500
22,0.70123490691185,0.7608899474143982,0.7955555555555556,512,0.0005,25,1024,1,simcse,768,1670103682,1500
23,0.7158142030239105,0.7769659161567688,0.7688888888888888,512,0.0005,25,1024,1,simcse,768,1670103682,1500
24,0.7285370528697968,0.7951672077178955,0.7466666666666667,512,0.0005,25,1024,1,simcse,768,1670103682,1500
0,1.1013718247413635,1.0948432683944702,0.5,512,0.0005,25,1024,1,simcse,768,1670103057,2000
1,1.0909695029258728,1.0820635557174685,0.5,512,0.0005,25,1024,1,simcse,768,1670103057,2000
2,1.0730187892913818,1.0543631315231323,0.5,512,0.0005,25,1024,1,simcse,768,1670103057,2000
3,1.027260959148407,1.0153326988220217,0.5,512,0.0005,25,1024,1,simcse,768,1670103057,2000
4,0.98625847697258,1.0150927305221558,0.5,512,0.0005,25,1024,1,simcse,768,1670103057,2000
5,0.9771959483623504,1.0117440223693848,0.5,512,0.0005,25,1024,1,simcse,768,1670103057,2000
6,0.9589146971702576,0.9788514375686646,0.5,512,0.0005,25,1024,1,simcse,768,1670103057,2000
7,0.9427320659160614,0.9500187039375304,0.5566666666666666,512,0.0005,25,1024,1,simcse,768,1670103057,2000
8,0.9139350354671478,0.943836748600006,0.61,512,0.0005,25,1024,1,simcse,768,1670103057,2000
9,0.9085340797901154,0.928396999835968,0.6133333333333333,512,0.0005,25,1024,1,simcse,768,1670103057,2000
10,0.8968680799007416,0.9215800166130066,0.6166666666666667,512,0.0005,25,1024,1,simcse,768,1670103057,2000
11,0.88573357462883,0.9076964259147644,0.6733333333333333,512,0.0005,25,1024,1,simcse,768,1670103057,2000
12,0.8812715113162994,0.882307231426239,0.7133333333333334,512,0.0005,25,1024,1,simcse,768,1670103057,2000
13,0.8596541285514832,0.8643214702606201,0.7,512,0.0005,25,1024,1,simcse,768,1670103057,2000
14,0.8381215035915375,0.838970422744751,0.7133333333333334,512,0.0005,25,1024,1,simcse,768,1670103057,2000
15,0.8139689862728119,0.80582195520401,0.7333333333333333,512,0.0005,25,1024,1,simcse,768,1670103057,2000
16,0.7892199158668518,0.7782431840896606,0.81,512,0.0005,25,1024,1,simcse,768,1670103057,2000
17,0.7637430727481842,0.7583871483802795,0.8133333333333334,512,0.0005,25,1024,1,simcse,768,1670103057,2000
18,0.7400579452514648,0.7379299402236938,0.8266666666666667,512,0.0005,25,1024,1,simcse,768,1670103057,2000
19,0.720811665058136,0.7236145734786987,0.8266666666666667,512,0.0005,25,1024,1,simcse,768,1670103057,2000
20,0.7060726284980774,0.7163292169570923,0.8233333333333334,512,0.0005,25,1024,1,simcse,768,1670103057,2000
21,0.6892262995243073,0.7100750207901001,0.8366666666666667,512,0.0005,25,1024,1,simcse,768,1670103057,2000
22,0.6767730116844177,0.7065345644950867,0.8466666666666667,512,0.0005,25,1024,1,simcse,768,1670103057,2000
23,0.6680087447166443,0.7052078247070312,0.8433333333333334,512,0.0005,25,1024,1,simcse,768,1670103057,2000
24,0.6708049178123474,0.7032938003540039,0.8466666666666667,512,0.0005,25,1024,1,simcse,768,1670103057,2000
0,1.0983974933624268,1.0907447338104248,0.6533333333333333,512,0.0005,25,1024,1,simcse,768,1670103703,2500
1,1.090091049671173,1.0772641897201538,0.56,512,0.0005,25,1024,1,simcse,768,1670103703,2500
2,1.0753243565559387,1.0481584072113037,0.56,512,0.0005,25,1024,1,simcse,768,1670103703,2500
3,1.0466604828834534,0.993822991847992,0.56,512,0.0005,25,1024,1,simcse,768,1670103703,2500
4,1.0017800629138949,0.956655979156494,0.56,512,0.0005,25,1024,1,simcse,768,1670103703,2500
5,0.983224630355835,0.939119517803192,0.56,512,0.0005,25,1024,1,simcse,768,1670103703,2500
6,0.9639081358909608,0.9101384282112122,0.5706666666666667,512,0.0005,25,1024,1,simcse,768,1670103703,2500
7,0.935842365026474,0.9065388441085817,0.6666666666666666,512,0.0005,25,1024,1,simcse,768,1670103703,2500
8,0.9227277338504792,0.8797024488449097,0.7386666666666667,512,0.0005,25,1024,1,simcse,768,1670103703,2500
9,0.894461989402771,0.8570432066917419,0.744,512,0.0005,25,1024,1,simcse,768,1670103703,2500
10,0.8738806545734406,0.8257648348808289,0.7653333333333333,512,0.0005,25,1024,1,simcse,768,1670103703,2500
11,0.8399342000484467,0.8014495372772217,0.7706666666666667,512,0.0005,25,1024,1,simcse,768,1670103703,2500
12,0.8091874718666077,0.7685979604721069,0.808,512,0.0005,25,1024,1,simcse,768,1670103703,2500
13,0.7729035019874573,0.749363124370575,0.7973333333333333,512,0.0005,25,1024,1,simcse,768,1670103703,2500
14,0.7453405559062958,0.7425515055656433,0.7946666666666666,512,0.0005,25,1024,1,simcse,768,1670103703,2500
15,0.7277994751930237,0.7375554442405701,0.8026666666666666,512,0.0005,25,1024,1,simcse,768,1670103703,2500
16,0.7154645621776581,0.7264843583106995,0.816,512,0.0005,25,1024,1,simcse,768,1670103703,2500
